26243  29609  10987  23936  11600
26208  11401  4883   4701   30044
21339  26898  12031  9269   24715
1050   9920   19874  26907  19661
14931  5826   28018  9910   16198
30863  3786   21840  29489  31785
20172  21840  18990  28522  14099
10143  14886  713    30195  28426
22886  13324  22863  21036  7986
31805  16031  28236  15843  14052
11262  10361  2549   17784  10700
16373  2811   25068  17113  7101
1719   18015  31136  13024  3818
31806  26940  4237   803    24354
10323  18018  11662  18494  31434
10704  24890  10292  3543   31779
29359  11376  4471   28743  18495
19155  28212  4965   20522  13752
15008  19707  27710  30571  19942
3114   26951  32107  3312   2882
1566   19428  26957  5035   2236
8747   26388  8675   24067  16306
12780  6975   17379  23944  12865
4790   21289  1301   30338  23037
1712   31638  12842  3892   29212
27640  28630  25840  7404   15845
11364  8425   2574   11236  17172
13064  21294  29067  3613   30943
11061  29505  16656  30316  28643
16013  14876  2236   28963  1474
13628  6290   22078  23096  21328
21048  20431  12930  11706  14426
10013  28948  1711   3412   13830
2022   9971   1388   12413  10668
19331  23775  9785   31271  1201
3363   32124  23919  17259  5856
15087  1425   14361  2636   24489
23351  344    27549  24665  20892
20865  15489  18784  31606  6214
3153   32247  17038  16725  10268
14864  13797  5940   16099  32078
20459  16409  3905   14283  24229
32248  7010   16859  7388   20972
13426  28914  31945  5754   29277
19754  26750  3701   10692  1608
197    18427  2380   7134   22568
10790  12865  10221  2602   14618
23887  17237  31725  6867   15699
19171  18267  10341  9715   24971
26258  12716  25753  14337  30928
25320  29597  24178  30289  1230
27097  7706   17226  24167  23330
31468  10782  29066  7417   3051
18051  30337  2009   29234  26036
25639  1988   17423  31831  26769
15730  14211  10586  31069  23257
32088  6531   1049   26828  30741
