0 1
0.04 0.96451376
0.08 0.93700269
0.12 0.91607785
0.16 0.90057179
0.2 0.88950456
0.24 0.88205485
0.28 0.87753547
0.32 0.87537255
0.36 0.87508786
0.4 0.87628388
0.44 0.87863108
0.48 0.88185713
0.52 0.88573785
0.56 0.89008944
0.6 0.89476195
0.64 0.89963379
0.68 0.90460706
0.72 0.90960356
0.76 0.91456156
0.8 0.91943289
0.84 0.92418069
0.88 0.92877733
0.92 0.93320281
0.96 0.93744335
1 0.94149021
1.04 0.9453387
1.08 0.94898741
1.12 0.95243748
1.16 0.95569208
1.2 0.95875591
1.24 0.96163487
1.28 0.96433565
1.32 0.96686559
1.36 0.96923237
1.4 0.97144391
1.44 0.97350818
1.48 0.97543315
1.52 0.97722665
1.56 0.97889635
1.6 0.98044968
1.64 0.98189382
1.68 0.98323564
1.72 0.98448173
1.76 0.98563835
1.8 0.98671143
1.84 0.98770661
1.88 0.9886292
1.92 0.98948419
1.96 0.99027629
